store_item,LightGBM_raw,XGBoost_raw,LightGBM_log1p,XGBoost_log1p,LightGBM_zscore,XGBoost_zscore
10_1,0.6589726916482422,0.6824637702454471,0.6521490994826193,0.6786970580625494,0.6683137648587288,0.7208144468559163
10_10,0.9771438171287027,1.043144938621557,0.9705945237883705,1.1456890549166825,0.9335804074509959,1.1664629373719848
10_11,0.6097882866436897,0.6432971681630734,0.6058065233417999,0.6490404901678607,0.6331675597638112,0.7296571036456125
10_12,0.5268445668714935,0.5488855585050421,0.5147024440407505,0.5417488747367705,0.512869912442162,0.594414667300594
10_13,1.0233060633220372,1.0971401774406353,0.9838534076499383,1.1276022964410242,1.0326091062720764,1.160631560610305
10_14,0.9359258063319023,1.0072452881217737,0.9505323739540827,1.2179618195817814,1.043987268323085,1.3365998929763379
10_15,0.8094968247399816,0.8858710593146981,0.8356640396161238,0.9917176864849613,0.7941474432194321,0.9354432942536398
10_16,0.6643514669217042,0.7096300956426892,0.6914354664409311,0.6748748601823842,0.6705659584245574,0.7599850289870422
10_17,0.5944261041695761,0.6168842932577268,0.5677947631263075,0.5957996113778655,0.612303975977274,0.6457748189304001
10_18,1.0283154328108153,1.0664434611388334,1.0223896082643746,1.0853430186636666,0.99511852233278,1.1954602054016716
10_19,1.0880175641660619,1.1737192746008085,1.0849222144480388,1.2799794739304742,1.0611778099058526,1.2162047325859924
10_2,0.5028595068421383,0.5224882675542403,0.4991901456263277,0.5344621624667859,0.5217262766451329,0.5860794147508241
10_20,0.7059410181596707,0.7328873273255403,0.7051447166088801,0.7834335928187102,0.7210670842434479,0.7841091854941653
10_21,0.5267744543411783,0.5588585294883084,0.5286050985549862,0.6302675899147732,0.5630708257174059,0.7392929222980182
10_22,0.5724341691053144,0.598349150372878,0.5580561339317158,0.5461869609648556,0.6019256185008319,0.6224004302339735
10_23,0.8370968890599911,0.8755274222090558,0.8379111894311646,0.9288865865930711,0.8465483329615566,1.0397936068731972
10_24,0.6692159142115183,0.7014477382188096,0.6758971239584596,0.7319789069348263,0.6975410632506861,0.7615245942347516
10_25,0.7509019298872345,0.8125697915439148,0.7538787796694244,0.7758594304440457,0.7619176816166221,0.8245518437372706
10_26,0.6761427601421325,0.6866035111040144,0.675590112616727,0.667206282097325,0.670482575260582,0.6529580371842321
10_27,0.6423411821454774,0.6728274060112637,0.6195528114216671,0.6402472335121753,0.6356979113449086,0.6761239596186488
10_28,0.7574889137421343,0.79967454748044,0.7102305240139196,0.7767858387930278,0.7411407994311865,0.8727448935926181
10_29,0.7062860053192105,0.7983942054894871,0.6641588405806397,0.7344127171455136,0.6510444562174658,0.7707315257477321
10_3,0.5811302521327316,0.5764527981448903,0.5438907208100511,0.6927664182538233,0.6187704016715622,0.655243332098628
10_30,0.6958827915041078,0.7516464311062512,0.6433073343976068,0.6568198371776949,0.6755897771673248,0.6676600879950843
10_4,0.668040111223799,0.7387858875691897,0.642168549881231,0.6765560677574525,0.6418651060182843,0.6787998509496043
10_5,0.5705692202265292,0.5925672985491267,0.564800150774005,0.5526135497874609,0.5784103728673584,0.6537717333857156
10_6,0.7386424370600699,0.7787371522525851,0.7381665089728808,0.7513307425990448,0.7228995566807613,0.75184359736344
