model,variant,n_features,MAE,WAPE,MASE,wape_cost_pct
LightGBM,full,62,5.301177284599264,24.70954017893145,0.7520793903173449,0.0
XGBoost,full,62,5.665643052112664,26.408366881517054,0.8037862428724074,0.0
LightGBM,no_weather,52,5.396106190380198,25.15201729026113,0.7655469786944831,1.7907136600905156
XGBoost,no_weather,52,5.812213412977305,27.0915521489381,0.824580217817919,2.5870030906727504
LightGBM,no_calendar,43,5.858550769838033,27.307537149941925,0.831154110601693,10.514145355184116
XGBoost,no_calendar,43,5.895416058423565,27.479371495523704,0.8363841986132422,4.0555503443730005
LightGBM,no_promotion,55,5.376103211102622,25.058780563092334,0.7627091508588975,1.4133827729366728
XGBoost,no_promotion,55,5.901722553527308,27.508766964829537,0.8372789027021701,4.166861541455793
