,SARIMA,SARIMAX
11_27,0.9812225510268024,0.9052026878400412
12_30,0.8995424321099055,0.880277337718985
12_9,1.3197513106170726,1.2365693653239578
1_12,1.1887422051180014,0.777834536450342
1_28,1.075422592914937,1.0558130279863724
1_3,0.8211208984483475,0.8113065881699593
1_9,1.0621667002186699,1.5085319528397756
2_12,1.1926558009102983,1.0514625848080452
2_19,1.2283131435635948,1.2262430722101196
2_4,0.8926756841107455,0.8334002841894682
3_28,1.0841140369684517,0.9286512319832407
4_10,1.2914067316503124,1.2218917364805517
4_21,1.094995994293862,0.9101404454601922
4_24,3.5198623385985908,1.5284156014644112
5_3,1.2118505057608453,1.0721989341498475
6_10,1.6463122156395265,1.1580795703015452
6_16,0.9570008997910119,0.6959416918097502
6_8,1.2941429680767904,0.9521542117212262
7_25,0.884373123678659,0.7984998682174856
7_6,0.9509405378489809,0.973473043650492
7_9,1.5727607435407225,1.4299916706828797
8_15,1.2144500160860643,1.252843917875642
8_29,1.0080740400596155,0.9863532876997091
9_10,1.4032101838033406,1.363198971161712
