store_item,LightGBM_full,XGBoost_full,LightGBM_no_weather,XGBoost_no_weather,LightGBM_no_calendar,XGBoost_no_calendar,LightGBM_no_promotion,XGBoost_no_promotion
10_1,0.6589726916482422,0.6824637702454471,0.6705100052830907,0.6970608618382923,0.7614185383118502,0.7785876435214067,0.6599008415923064,0.6912894910687536
10_10,0.9771438171287027,1.043144938621557,1.015576388912272,1.0841950899609123,1.1932257364133083,1.2030426388512827,0.9670144464514467,1.1429350051636966
10_11,0.6097882866436897,0.6432971681630734,0.6113238186154845,0.65217643283029,0.7478653950240086,0.7440021606399179,0.6241049201979515,0.6665720348781571
10_12,0.5268445668714935,0.5488855585050421,0.5332480351232957,0.5567175871915068,0.6112220008483474,0.6090538958883527,0.5349261870837224,0.5775479155928586
10_13,1.0233060633220372,1.0971401774406353,1.0104176842428871,1.0868124001721406,1.0766422064466272,1.0987399201614565,1.0323977122194072,1.119387118314062
10_14,0.9359258063319023,1.0072452881217737,0.9802032533425261,1.0389205847447898,1.0233424383683432,1.0213679967756064,0.907280669147214,1.0368987406333061
10_15,0.8094968247399816,0.8858710593146981,0.8953176878721162,0.9180863412685585,0.938257451195059,0.9549851990008753,0.8044617973993567,0.8873479321151619
10_16,0.6643514669217042,0.7096300956426892,0.6702685244599075,0.7328390878548495,0.7296446723138635,0.7202213968174245,0.6510639237604992,0.7301481778395167
10_17,0.5944261041695761,0.6168842932577268,0.5973229176195863,0.6377237890305848,0.6595514851200521,0.662172985278896,0.5996536776293317,0.654250259742175
10_18,1.0283154328108153,1.0664434611388334,1.0607923969419015,1.068293399980284,1.0245542392190137,1.0360843604707648,1.0331011151105445,1.1548942540515732
10_19,1.0880175641660619,1.1737192746008085,1.1005589472004123,1.1858466802434422,1.1339385782948328,1.2095955396944134,1.1332105342206786,1.1828960321252475
10_2,0.5028595068421383,0.5224882675542403,0.5103493867520229,0.5307798715092225,0.6049198673599577,0.6057857075639771,0.5103819736291398,0.5341243401414711
10_20,0.7059410181596707,0.7328873273255403,0.7129509396084234,0.7467056516793691,0.8016622500055735,0.793064803563209,0.735306547264873,0.7842511794565291
10_21,0.5267744543411783,0.5588585294883084,0.5375596593592078,0.5662724538018789,0.6935778800424535,0.6924704365419614,0.5262936345562022,0.6117146752858219
10_22,0.5724341691053144,0.598349150372878,0.5757106251732734,0.6087482849041527,0.6007589530314283,0.6138280162398391,0.5772180774449075,0.629269561221837
10_23,0.8370968890599911,0.8755274222090558,0.8552117436302314,0.8845059695226364,1.0451347336113224,1.0404677955450243,0.8421572563490564,0.8880495412588639
10_24,0.6692159142115183,0.7014477382188096,0.6814341977794488,0.7218244455243412,0.7736639764913495,0.7778497197973645,0.6774759932028573,0.7604278031039342
10_25,0.7509019298872345,0.8125697915439148,0.7522996619203005,0.8458807941592835,0.8114031728153274,0.8154496205601709,0.7738628333005446,0.8962335032817446
