store_item,item_id,is_weekend,is_public_holiday,is_school_holiday,temp_anomaly,is_promotion,discount_pct
12_30,30,0.09879785863318694,-0.9303074534740373,0.4853005093237731,-0.18676712936330234,-0.5348584009644445,0.06462265347791421
8_29,29,0.4441499676316208,-0.9018319693399829,0.43212842238354393,0.215390018176058,-0.03523143267480836,0.15890309518260887
3_28,28,1.5479399313568893,-1.1988326055530674,0.8371947863847368,0.4681572879667278,-0.4372372234178592,0.2628325922057882
2_4,4,3.1012436715852174,-0.856561369937869,0.41632194563066327,-0.03962295065971571,1.9690470725015754,0.0962500956083434
6_16,16,1.3809110784759773,-0.7755841961641983,0.19049100476739353,-0.22180766816011732,-1.4499146852447318,0.3736363942735076
7_6,6,2.0252852679145805,-3.507928728044402,1.0394294568992242,0.025143132298799296,4.277151995094102,0.044680596913185745
1_28,28,1.3431277708767637,-0.9954446964576449,0.7600368287924429,0.6081003910160366,-3.2213503418534324,0.4192674873952363
11_27,27,6.313025082971799,-2.4361182159011934,1.2278778412422546,-0.009071312058235095,0.007552433928076294,0.2443690935370231
7_25,25,1.0801372568673246,-0.42021703957488027,0.7040309003209936,-0.01370436742191403,0.20596225184238298,0.3186939310417144
9_10,10,3.075803798225831,-2.276550763135325,0.7910714386004153,0.7293734827038942,-0.7853046035261642,0.4947276088876138
6_10,10,1.6510294014803748,-2.9006966783927406,1.6506112751602897,0.7103537249833566,1.3486542453483719,0.40306084244531165
2_12,12,3.1463514115110907,-1.815819486226199,1.8382715133897514,-0.33083519246659593,-1.7945081334414332,0.49264974124321553
6_8,8,3.299923231876217,-1.5960828049795288,1.0516244588937873,0.007391620687356695,1.31575831204893,0.28646507645093977
12_9,9,1.534210381111568,-3.445872871257039,1.05223386806486,0.16732136287505667,0.15722522726964944,0.39885979051528386
1_12,12,3.1206730385279173,-1.5312212462856376,1.9086369238648178,-0.3664908443944456,1.4766343345510349,0.41811688777099554
4_10,10,1.1448235487002467,-4.265105565407597,1.1193294067608155,0.8973650345025816,-4.7199076161730575,0.8239118506622365
4_24,24,2.143900352607074,-3.954927111285223,1.6344213205863067,0.009451042243512219,-3.6071396341857933,0.7159556782914598
7_9,9,3.3603343242687904,-6.2790165311195505,2.411703701154343,0.25286404290074727,0.07221469787911719,0.5831070710586863
1_9,9,3.0374445851250487,-7.661916144585119,2.5693994358422434,0.19510859872820416,1.3076489440772305,0.5732016379853145
8_15,15,4.637324697071452,-6.208196928664445,2.698574934083749,1.3876566662966014,9.417500487648708,0.06376940858247057
4_21,21,3.652764614214757,-7.397763046318389,2.322654705373201,-0.4225292433411629,9.028846191673813,0.08179673181460155
2_19,19,3.2500352763532927,-11.173145591109463,2.3098342515655013,0.40599072457773544,15.774688784421649,-0.4730707410804274
5_3,3,3.8233545280546184,-7.653930799000471,3.5823228206378963,0.07437995530045464,15.923298983385678,-0.4430933522586551
1_3,3,-0.285472501906192,-6.153358535202405,-1.035282026746556,-0.06267569773714406,4.891123511492584,-0.13393699830167077
