pair,n,shapiro_W,shapiro_p,normal_at_05
LightGBM-XGBoost,24,0.8719581147178348,0.005747784991487138,False
LightGBM-SARIMA,24,0.5540324274169359,1.9717292808943712e-07,False
XGBoost-SARIMA,24,0.5924793747031533,5.097298868730263e-07,False
