method,shapiro_W,shapiro_p,skew,normal_at_05
shap_LightGBM,0.4552267237853956,8.292901631840434e-14,3.9044563869250037,False
shap_XGBoost,0.4272861715112298,3.665791233849719e-14,4.446684818806596,False
perm_LightGBM,0.33992825442734176,3.3940303747568454e-15,5.3672127631658855,False
perm_XGBoost,0.28591384987002133,8.726094257619775e-16,6.196551615223223,False
