store_item,raw,log1p,zscore
11_27,0.9812225510268024,0.9098762146895829,0.9811888766232997
12_30,0.8995424321099055,0.7840157838144656,0.8995419770174012
12_9,1.3197513106170726,1.3908170558012272,1.3196874014429376
1_12,1.1887422051180014,1.0885464646465925,1.1887303219768357
1_28,1.075422592914937,1.094136978719344,1.0754202221128213
1_3,0.8211208984483475,0.6976060868309196,0.8210374460702519
1_9,1.0621667002186699,1.0868776011755859,1.062167034625819
2_12,1.1926558009102983,1.1411359681739577,1.1926660722510076
2_19,1.2283131435635948,1.262305052919821,1.2283065899430232
2_4,0.8926756841107455,0.8426181489655425,0.8926757575281318
3_28,1.0841140369684517,1.1127809902540502,1.084117044017933
4_10,1.2914067316503124,1.3095654536706534,1.2913603384863934
4_21,1.094995994293862,1.0414880705626408,1.0949958384854006
4_24,3.5198623385985908,1.7393706163984144,3.5199960645693222
5_3,1.2118505057608453,1.1687874143008672,1.211857187909275
6_10,1.6463122156395265,1.7384399569907378,1.6463099856005692
6_16,0.9570008997910119,0.8355775265311726,0.9569982368393326
6_8,1.2941429680767904,1.078782644906963,1.2941799017470905
7_25,0.884373123678659,0.8895099192284786,0.8843732660552077
7_6,0.9509405378489809,0.9010827272473569,0.9509389252336508
7_9,1.5727607435407225,1.6244712838439594,1.5727386240629302
8_15,1.2144500160860643,1.2703475199478704,1.2144478814882602
8_29,1.0080740400596155,1.129297835232618,1.0080748167123152
9_10,1.4032101838033406,1.6028666859857195,1.4031321293413719
