store_item,LightGBM,XGBoost,SARIMA
11_27,0.5478622585617429,0.6020737844615373,0.9812225510268024
12_30,0.7963867155841796,1.0261957849407486,0.8995424321099055
12_9,0.6986432476704815,0.7610263641506068,1.3197513106170726
1_12,0.677348547571993,0.7091928960851323,1.1887422051180014
1_28,0.7693098568005264,0.7773538576281973,1.075422592914937
1_3,0.6001338058456399,0.6173606867320132,0.8211208984483475
1_9,0.7951006287075824,0.8869490580447232,1.0621667002186699
2_12,0.6721699357763874,0.7118794841743152,1.1926558009102983
2_19,0.8728064333452609,0.9818110135609036,1.2283131435635948
2_4,0.6107186231320277,0.6912303007544102,0.8926756841107455
3_28,0.8667295446773212,0.9558405173803132,1.0841140369684517
4_10,0.820554637596467,0.882270345557347,1.2914067316503124
4_21,0.6603643182408871,0.6887354154986854,1.094995994293862
4_24,0.712127210451918,0.7286631999237333,3.5198623385985908
5_3,0.6471469774504343,0.6689293070019604,1.2118505057608453
6_10,0.978283287316788,1.0667189013960245,1.6463122156395265
6_16,0.5695367818293159,0.6690046275103364,0.9570008997910119
6_8,0.6057665427880996,0.6111322621194132,1.2941429680767904
7_25,0.6997127838477097,0.7676768659303135,0.884373123678659
7_6,0.6542452573434218,0.8083398263950634,0.9509405378489809
7_9,0.6568468973425264,0.7505904342833534,1.5727607435407225
8_15,0.8809632350813423,0.915891742071811,1.2144500160860643
8_29,0.8263180951803294,0.8906084287732379,1.0080740400596155
9_10,0.767327461039474,0.7986699615613206,1.4032101838033406
