gap,condition,rho,ci_lo,ci_hi,p
SARIMA-LightGBM,mean_volume,0.40869565217391296,-0.01115621239600385,0.7060410380876725,0.04738133753954189
SARIMA-LightGBM,cv,-0.3347826086956522,-0.657118229632196,0.09106204531333559,0.1098035359218697
SARIMA-LightGBM,zero_rate,-0.447434257524064,-0.7306323689709369,-0.032880992078838545,0.02835644169345813
