store_item,LightGBM,XGBoost,SARIMA,mean_volume,cv,zero_rate,cv_band,volume_band,gap_sarima_minus_lgbm,gap_xgb_minus_lgbm
11_27,0.5478622585617429,0.6020737844615373,0.9812225510268024,12.428295685681029,0.4445593479657973,0.0,low volatility,low volume,0.4333602924650596,0.05421152589979439
12_30,0.7963867155841796,1.0261957849407486,0.8995424321099055,3.697754400217564,0.7769375778115115,0.0665983606557377,high volatility,low volume,0.10315571652572586,0.22980906935656897
12_9,0.6986432476704815,0.7610263641506068,1.3197513106170726,18.368251302643184,0.4157623123098661,0.0010245901639344,low volatility,mid volume,0.6211080629465912,0.06238311648012529
1_12,0.677348547571993,0.7091928960851323,1.1887422051180014,19.962725314620513,0.4398362244691572,0.0,low volatility,mid volume,0.5113936575460084,0.03184434851313922
1_28,0.7693098568005264,0.7773538576281973,1.075422592914937,11.702682631298313,0.5880975588132664,0.0010245901639344,high volatility,mid volume,0.3061127361144106,0.008044000827670872
1_3,0.6001338058456399,0.6173606867320132,0.8211208984483475,53.36970857273618,0.3478814994924503,0.0,low volatility,high volume,0.22098709260270755,0.017226880886373253
1_9,0.7951006287075824,0.8869490580447232,1.06216670021867,30.902274494948383,0.3868775785590378,0.0010245901639344,low volatility,high volume,0.26706607151108774,0.09184842933714088
2_12,0.6721699357763874,0.7118794841743152,1.1926558009102983,15.898167635714424,0.4724614494618599,0.0,high volatility,mid volume,0.5204858651339109,0.03970954839792784
2_19,0.8728064333452609,0.9818110135609036,1.2283131435635948,43.99752813344153,0.3866134292836196,0.0,low volatility,high volume,0.3555067102183339,0.10900458021564274
2_4,0.6107186231320277,0.6912303007544102,0.8926756841107455,9.050840068718871,0.50102394472711,0.0020491803278688,high volatility,low volume,0.28195706097871776,0.08051167762238243
3_28,0.8667295446773212,0.9558405173803132,1.0841140369684517,7.754115357812176,0.660486233426208,0.0102459016393442,high volatility,low volume,0.21738449229113044,0.08911097270299195
4_10,0.820554637596467,0.882270345557347,1.2914067316503124,21.80063685040173,0.4964483161774592,0.0,high volatility,high volume,0.4708520940538454,0.061715707960879995
4_21,0.6603643182408871,0.6887354154986854,1.094995994293862,40.211176055287346,0.3867600176710135,0.0,low volatility,high volume,0.4346316760529749,0.028371097257798294
4_24,0.712127210451918,0.7286631999237333,3.5198623385985908,23.98259896436955,0.3776453810106783,0.0010245901639344,low volatility,mid volume,2.807735128146673,0.016535989471815338
5_3,0.6471469774504343,0.6689293070019604,1.2118505057608453,47.64084327771906,0.3040098663318561,0.0,low volatility,high volume,0.564703528310411,0.021782329551526147
6_10,0.978283287316788,1.0667189013960243,1.6463122156395265,15.20821201875227,0.5829200250040216,0.0,high volatility,mid volume,0.6680289283227384,0.08843561407923628
6_16,0.5695367818293159,0.6690046275103364,0.957000899791012,10.025420034359437,0.5185896656795076,0.0020491803278688,high volatility,low volume,0.3874641179616961,0.09946784568102052
6_8,0.6057665427880996,0.6111322621194132,1.2941429680767904,17.36517753215138,0.4108781077176806,0.0020491803278688,low volatility,mid volume,0.6883764252886908,0.005365719331313579
7_25,0.6997127838477097,0.7676768659303135,0.884373123678659,13.327267696085809,0.4453887053737666,0.0010245901639344,high volatility,low volume,0.1846603398309492,0.06796408208260374
7_6,0.6542452573434218,0.8083398263950634,0.9509405378489808,10.94120892117789,0.4575310463485946,0.0020491803278688,high volatility,low volume,0.29669528050555904,0.15409456905164165
7_9,0.6568468973425264,0.7505904342833534,1.5727607435407225,27.202682631298313,0.4037592354485204,0.0,low volatility,high volume,0.915913846198196,0.09374353694082693
8_15,0.8809632350813423,0.915891742071811,1.2144500160860645,36.27032257927443,0.3809113331817749,0.0,low volatility,high volume,0.3334867810047222,0.03492850699046868
8_29,0.8263180951803294,0.8906084287732379,1.0080740400596155,5.935264598511426,0.634672598627351,0.0122950819672131,high volatility,low volume,0.18175594487928615,0.06429033359290848
9_10,0.767327461039474,0.7986699615613206,1.4032101838033406,14.349808679692364,0.5894831423139297,0.0010245901639344,high volatility,mid volume,0.6358827227638666,0.03134250052184662
